name,year,genre,duration,rating,url
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,1h 55m,8.1,https://www.imdb.com/title/tt5027774/?ref_=adv_li_tt
All About Eve,1950,Drama,2h 18m,8.2,https://www.imdb.com/title/tt0042192/?ref_=adv_li_tt
The Wages of Fear,1953,Adventure,2h 11m,8.2,https://www.imdb.com/title/tt0046268/?ref_=adv_li_tt
Logan,2017,Action,2h 17m,8.1,https://www.imdb.com/title/tt3315342/?ref_=adv_li_tt
Rashomon,1950,Crime,1h 28m,8.2,https://www.imdb.com/title/tt0042876/?ref_=adv_li_tt
Tokyo Story,1953,Drama,2h 16m,8.2,https://www.imdb.com/title/tt0046438/?ref_=adv_li_tt
Gone with the Wind,1939,Drama,3h 58m,8.2,https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt
The Treasure of the Sierra Madre,1948,Adventure,2h 6m,8.2,https://www.imdb.com/title/tt0040897/?ref_=adv_li_tt
The Bridge on the River Kwai,1957,Adventure,2h 41m,8.2,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt
Yojimbo,1961,Action,1h 50m,8.2,https://www.imdb.com/title/tt0055630/?ref_=adv_li_tt
The Great Escape,1963,Adventure,2h 52m,8.2,https://www.imdb.com/title/tt0057115/?ref_=adv_li_tt
Dersu Uzala,1975,Adventure,2h 22m,8.2,https://www.imdb.com/title/tt0071411/?ref_=adv_li_tt
Taxi Driver,1976,Crime,1h 54m,8.2,https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt
The Elephant Man,1980,Biography,2h 4m,8.2,https://www.imdb.com/title/tt0080678/?ref_=adv_li_tt
Ran,1985,Action,2h 42m,8.2,https://www.imdb.com/title/tt0089881/?ref_=adv_li_tt
Raging Bull,1980,Biography,2h 9m,8.2,https://www.imdb.com/title/tt0081398/?ref_=adv_li_tt
Casino,1995,Crime,2h 58m,8.2,https://www.imdb.com/title/tt0112641/?ref_=adv_li_tt
Chinatown,1974,Drama,2h 10m,8.2,https://www.imdb.com/title/tt0071315/?ref_=adv_li_tt
Unforgiven,1992,Drama,2h 10m,8.2,https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt
L.A. Confidential,1997,Crime,2h 18m,8.2,https://www.imdb.com/title/tt0119488/?ref_=adv_li_tt
Children of Heaven,1997,Drama,1h 29m,8.2,https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt
The Sixth Sense,1999,Drama,1h 47m,8.2,https://www.imdb.com/title/tt0167404/?ref_=adv_li_tt
Batman Begins,2005,Action,2h 20m,8.2,https://www.imdb.com/title/tt0372784/?ref_=adv_li_tt
The Truman Show,1998,Comedy,1h 43m,8.2,https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt
Downfall,2004,Biography,2h 36m,8.2,https://www.imdb.com/title/tt0363163/?ref_=adv_li_tt
A Beautiful Mind,2001,Biography,2h 15m,8.2,https://www.imdb.com/title/tt0268978/?ref_=adv_li_tt
Kill Bill: Vol. 1,2003,Action,1h 51m,8.2,https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt
V for Vendetta,2005,Action,2h 12m,8.2,https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt
The Apartment,1960,Comedy,2h 5m,8.3,https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt
Pather Panchali,1955,Drama,2h 5m,8.3,https://www.imdb.com/title/tt0048473/?ref_=adv_li_tt
To Kill a Mockingbird,1962,Crime,2h 9m,8.3,https://www.imdb.com/title/tt0056592/?ref_=adv_li_tt
Pan's Labyrinth,2006,Drama,1h 58m,8.2,https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt
Lawrence of Arabia,1962,Adventure,3h 38m,8.3,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt
Scarface,1983,Crime,2h 50m,8.3,https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt
Judgment at Nuremberg,1961,Drama,2h 59m,8.3,https://www.imdb.com/title/tt0055031/?ref_=adv_li_tt
The Sting,1973,Comedy,2h 9m,8.3,https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt
Heat,1995,Action,2h 50m,8.3,https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt
Once Upon a Time in America,1984,Crime,3h 49m,8.3,https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt
Full Metal Jacket,1987,Drama,1h 56m,8.3,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
Requiem for a Dream,2000,Drama,1h 42m,8.3,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
Good Will Hunting,1997,Drama,2h 6m,8.3,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
Eternal Sunshine of the Spotless Mind,2004,Drama,1h 48m,8.3,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Inglourious Basterds,2009,Adventure,2h 33m,8.3,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
Up,2009,Animation,1h 36m,8.3,https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt
The Hunt,2012,Drama,1h 55m,8.3,https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt
